address	chain_name	city	store_name	chain_code	store_code
ליד כביש 4	מיני סופר אלונית	בנימינה-גבעת עדה	גבעת עדה	7290492000005	995
ליד כביש 4	מיני סופר אלונית	בנימינה-גבעת עדה 	גבעת עדה	7290492000005	995
ליד כביש 4 ורחוב בולטימור	מיני סופר אלונית	עכו	עכו	7290492000005	960
ליד כביש 4 ורחוב בולטימור	מיני סופר אלונית	עכו 	עכו	7290492000005	960
ליד כביש 90	מיני סופר אלונית	עמיעד	עמיעד	7290492000005	843
ליד כביש 90	מיני סופר אלונית	עמיעד 	עמיעד	7290492000005	843
ליד מרכז כדורי בין כפר תבור לצומת גולני	מיני סופר אלונית	בית קשת	בית קשת	7290492000005	645
ליד מרכז כדורי בין כפר תבור לצומת גולני	מיני סופר אלונית	בית קשת 	בית קשת	7290492000005	645
ליד קוסמוס חוצות להב עמק שרה	yellow	באר שבע	עמק שרה	7290644700005	631
ליד קוסמוס חוצות להב עמק שרה	yellow	באר שבע 	עמק שרה	7290644700005	631
ליד שפרעם	yellow	ביר אל-מכסור	ביר אל מכסור	7290644700005	425
ליד שפרעם	yellow	ביר אל-מכסור 	ביר אל מכסור	7290644700005	425
לילינבלום 15	נתיב החסד	נתניה	נתניה לילינבלום	7290058160839	42
לילינבלום 15	נתיב החסד	נתניה 	נתניה לילינבלום	7290058160839	42
לינקולן 16	ויקטורי	תל אביב	לינקולן תל אביב	7290696200003	44
לינקולן 9	am:pm	תל אביב	לינקולן	7290492000005	510
לישנסקי 9 ראשון לציון	סופר פארם	ראשון לציון	לישנסקי	7290172900007	51
לישנסקי 9 ראשון לציון	סופר פארם	ראשון לציון 	לישנסקי	7290172900007	51
לנדאו 16	סופר ברקת	חולון	ברקת בסיטי חולון	7290875100001	62
לנדאו 16	סופר ברקת	חולון 	ברקת בסיטי חולון	7290875100001	62
לנדאו 7	פרשמרקט	רמת גן	מרום נווה	7290876100000	40
לנדאו 7	פרשמרקט	רמת גן 	מרום נווה	7290876100000	40
לנדאו 7 רמת גן	סופר פארם	רמת גן	מרום נווה	7290172900007	64
לנדאו 7 רמת גן	סופר פארם	רמת גן 	מרום נווה	7290172900007	64
מ.מסחרי יקנעם עלית	יש בשכונה	יקנעם עילית	יוקנעם עילית-היובלים	7290027600007	329
מ.מסחרי יקנעם עלית	יש בשכונה	יקנעם עילית 	יוקנעם עילית-היובלים	7290027600007	329
מ.תדיראן,ק.עקרון	שופרסל דיל	רחובות	קרית עקרון- ביל"ו	7290027600007	283
מ.תדיראן,ק.עקרון	שופרסל דיל	רחובות 	קרית עקרון- ביל"ו	7290027600007	283
מאה שערים 21 פינת חבקוק 6	זול ובגדול	ירושלים	מאה שערים	7290000000001	4
מאה שערים 21 פינת חבקוק 6	זול ובגדול	ירושלים 	מאה שערים	7290000000001	4
מאה שערים 42	good מרקט	ירושלים	גוד מרקט מאה שערים	7290027600007	772
מאה שערים 42	good מרקט	ירושלים 	גוד מרקט מאה שערים	7290027600007	772
מאז"ה 42	טיב טעם סיטי	תל אביב	דיילי מאז"ה	7290873255550	57
מאיר גרשון 46	מעיין 2000	ירושלים	פסגת זאב	7290058159628	4
מאיר גרשון 46	מעיין 2000	ירושלים 	פסגת זאב	7290058159628	4
מאיר גרשון פ. יוסף נדבה 3/1 	מחסני השוק בשבילך	ירושלים	פסגת זאב מזרח ירושלים	7290633800006	223
מאיר גרשון פ. יוסף נדבה 3/1 	מחסני השוק בשבילך	ירושלים 	פסגת זאב מזרח ירושלים	7290633800006	223
מאיר יערי 19	שופרסל אקספרס	תל אביב	מאיר יערי תל אביב	7290027600007	385
מאירוביץ 17	שופרסל אקספרס	ראשון לציון	מאירוביץ ראשל"צ	7290027600007	360
מאירוביץ 17	שופרסל אקספרס	ראשון לציון 	מאירוביץ ראשל"צ	7290027600007	360
מאפו 7	מחסני השוק בסיטי	באר שבע	נווה זאב	7290661400001	30
מאפו 7	מחסני השוק בסיטי	באר שבע 	נווה זאב	7290661400001	30
מבצע ליטני 37	שירה מרקט	רחובות	אושיות	7290058160839	237
מבצע ליטני 37	שירה מרקט	רחובות 	אושיות	7290058160839	237
מבצע סיני 16	גוד פארם	בת ים	בת ים - מבצע סיני	7290058197699	300
מבצע סיני 16	גוד פארם	בת ים 	בת ים - מבצע סיני	7290058197699	300
מבצע עובדה 2	מחסני השוק בסיטי	באר שבע	מבצע עובדה- מצדה	7290661400001	81
מבצע עובדה 2	מחסני השוק בסיטי	באר שבע 	מבצע עובדה- מצדה	7290661400001	81
מבצע קדש 60	מיני סופר אלונית	בני ברק	אצטדיון בני ברק	7290492000005	915
מבצע קדש 60	מיני סופר אלונית	בני ברק 	אצטדיון בני ברק	7290492000005	915
מבצע קדש 66	רמי לוי	בני ברק	רמת גן  איילון	7290058140886	16
מבצע קדש 66	רמי לוי	בני ברק 	רמת גן  איילון	7290058140886	16
מגדיאל 54	רמי לוי בשכונה	הוד השרון	הוד השרון	7291056200008	334
מגדיאל 54	רמי לוי בשכונה	הוד השרון 	הוד השרון	7291056200008	334
מדע 77	שופרסל דיל	מגדל העמק	מגדל העמק- המדע	7290027600007	281
מדע 77	שופרסל דיל	מגדל העמק 	מגדל העמק- המדע	7290027600007	281
מדר פינת דרך ירושלים	Carrefour market (קרפור מרקט)	רחובות	שרונה רחובות	7290055700007	2740
מדר פינת דרך ירושלים	Carrefour market (קרפור מרקט)	רחובות 	שרונה רחובות	7290055700007	2740
מודיעים סנטר צאלון 21	BE	מודיעין-מכבים-רעות	מודיעין	7290027600007	652
מודיעים סנטר צאלון 21	BE	מודיעין-מכבים-רעות 	מודיעין	7290027600007	652
מוטי קינד 1	רמי לוי	רחובות	רחובות	7290058140886	41
מוטי קינד 1	רמי לוי	רחובות 	רחובות	7290058140886	41
מוטי קינד 10	יוחננוף	רחובות	מרכז סנטרו רחובות	7290803800003	31
